trip_id,route_id,service_id,shape_id,trip_headsign,direction_id
4204592,0,Mo-Su,4204592,Avenida Blanco Galindo,0
4205962,1,Mo-Su,4205962,Calle Litoral,0
4207829,2,Mo-Su,4207829,Calle Litoral,0
4220716,3,Mo-Su,4220716,Plaza Avenida Blanco Galindo,1
4223772,0,Mo-Su,4223772,Avenida Blanco Galindo,0
4237142,1,Mo-Su,4237142,Avenida Blanco Galindo,1
4247869,4,Mo-Su,4247869,Pasaje F,1
4269608,5,Mo-Su,4269608,Río Taquiña,1
4269609,5,Mo-Su,4269609,Villa Israel,1
4420888,6,Mo-Su,4420888,Plaza Hernando Siles,1
4420889,4,Mo-Su,4420889,Calle Las Buganvillas,0
4430244,7,Mo-Su,4430244,Calle Manuel Carrasco Jimenez,1
4431661,6,Mo-Su,4431661,Avenida Belzu,0
4433300,7,Mo-Su,4433300,Avenida Pedro de la Gasca,0
4436907,8,Mo-Su,4436907,Parque Ecoturístico Pairumani,1
4443362,9,Mo-Su,4443362,Avenida Circunvalación,1
4443363,9,Mo-Su,4443363,Avenida Chacancalle,0
4480208,10,Mo-Su,4480208,Avenida Ayacucho,0
4655384,11,Mo-Su,4655384,Chilimarca,1
4770039,2,Mo-Su,4770039,Avenida Blanco Galindo,1
5149360,12,Mo-Su,5149360,Charles Darwin,0
5386695,13,Mo-Su,5386695,Huachi Rancho,1
5386696,13,Mo-Su,5386696,Calle Poopó,0
5387552,14,Mo-Su,5387552,Avenida Arquímedes,0
5387555,14,Mo-Su,5387555,Calle Alipio Valencia Vega,1
5457000,15,Mo-Su,5457000,Avenida Río Parapeti,0
5457001,16,Mo-Su,5457001,Avenida Chapare,0
5457263,17,Mo-Su,5457263,Avenida Circuito Bolivia,0
5470046,12,Mo-Su,5470046,La Concordia,1
6714096,10,Mo-Su,6714096,Plaza Principal El Paso,1
692523600,18,Tu-Su,6925236,Línea del teleférico para ascenso desde el Parque de la Autonomía al Cristo de la Concordia.,0
